competitor_name,event,species,diameter,actual_time,predicted_time,error,abs_error,confidence,std_dev
Aaron Hovis,UH,S10,320,26,22.25454404787233,-3.7454559521276707,3.7454559521276707,LOW,3.0
Mike Johnson,UH,S08,304,40,30.584412515603873,-9.415587484396127,9.415587484396127,LOW,6.0
David Moses Jr.,SB,S01,300,25,21.390941883605617,-3.609058116394383,3.609058116394383,LOW,4.022810775558268
Martha King,SB,S01,250,32,39.23713897039583,7.237138970395833,7.237138970395833,LOW,6.0
Dakota Robarge,SB,S01,300,20,20.666881812817035,0.6668818128170351,0.6668818128170351,LOW,5.0142653642240695
Jeff Skirvin,UH,S01,320,25,24.476520881611638,-0.5234791183883623,0.5234791183883623,LOW,6.0
Ben Knicely,SB,S01,300,31,20.542544231098326,-10.457455768901674,10.457455768901674,MEDIUM,6.0
Zane Sandborg,UH,S04,279,75,47.34889589666785,-27.651104103332152,27.651104103332152,LOW,6.0
Arden Cogar Jr,UH,S01,320,15,23.2371138734997,8.237113873499698,8.237113873499698,MEDIUM,2.7285666122665497
Ben Knicely,UH,S10,320,23,21.87286656803864,-1.1271334319613615,1.1271334319613615,LOW,6.0
Eric Hoberg,SB,S01,300,40,23.768619535374228,-16.231380464625772,16.231380464625772,LOW,6.0
Brian Bartow,SB,S01,300,29,21.01999712408867,-7.980002875911332,7.980002875911332,LOW,2.5166114784235836
Jeff Skirvin,SB,S01,300,29,21.472017474680204,-7.527982525319796,7.527982525319796,LOW,6.0
Emily Brown,UH,S10,270,28,36.93805012466888,8.938050124668877,8.938050124668877,LOW,4.856267428111155
Collin Shephard,SB,S01,250,69,39.59335703876954,-29.40664296123046,29.40664296123046,LOW,3.0
James Hartley,SB,S01,300,26,21.14064383793488,-4.859356162065119,4.859356162065119,LOW,6.0
Gillian Shannon,UH,S09,254,153,48.68675259879872,-104.31324740120128,104.31324740120128,LOW,6.0
Ben Knicely,UH,S01,320,30,22.594675745177433,-7.405324254822567,7.405324254822567,MEDIUM,6.0
Grant Foreman,SB,S10,300,19,18.53846153846154,-0.4615384615384599,0.4615384615384599,LOW,3.0
Kate Witkowski,UH,S03,254,37,30.265487596253074,-6.734512403746926,6.734512403746926,LOW,5.3452248382484875
Zane Sandborg,SB,S05,304,84,33.970878010387764,-50.029121989612236,50.029121989612236,LOW,6.0
Mark Bouquin,SB,S01,300,22,21.01508758411562,-0.9849124158843807,0.9849124158843807,MEDIUM,2.699206232527312
Dakota Robarge,UH,S01,320,28,23.420776230552395,-4.579223769447605,4.579223769447605,LOW,4.611708700997618
Lindsay Daun,UH,S01,270,53,39.364889659837466,-13.635110340162534,13.635110340162534,LOW,6.0
Tristan VanBeek,UH,S10,320,27,20.971592366128302,-6.028407633871698,6.028407633871698,LOW,1.5
Lindsay Daun,UH,S01,270,51,39.16451832367706,-11.835481676322942,11.835481676322942,LOW,6.0
Jeff Skirvin,UH,S01,320,25,24.474133085408127,-0.5258669145918731,0.5258669145918731,LOW,6.0
Arden Cogar Jr,SB,S01,300,17,20.46616336067676,3.4661633606767595,3.4661633606767595,MEDIUM,2.2364914351264438
Matt Slingerland,SB,S01,300,21,20.45647681021631,-0.5435231897836914,0.5435231897836914,MEDIUM,3.9389573005282266
James Hartley,SB,S01,300,23,21.179712285883966,-1.8202877141160343,1.8202877141160343,LOW,6.0
Ben Knicely,UH,S01,320,27,22.67584083515677,-4.3241591648432305,4.3241591648432305,MEDIUM,6.0
Matt Slingerland,UH,S01,320,18,21.99386258108131,3.9938625810813093,3.9938625810813093,MEDIUM,3.9298006734862945
Ben Whelan,SB,S01,300,33,21.908096557209333,-11.091903442790667,11.091903442790667,LOW,6.0
Arden Cogar Jr,UH,S01,320,18,23.16143600668869,5.161436006688689,5.161436006688689,MEDIUM,2.860718811979276
Matt Slingerland,SB,S01,300,20,20.49460840135588,0.4946084013558796,0.4946084013558796,MEDIUM,3.9301595191739795
Adam Lethco,SB,S01,300,25,20.93921568627451,-4.060784313725492,4.060784313725492,LOW,3.0
Ben Knicely,SB,S01,300,22,20.570346035220943,-1.4296539647790567,1.4296539647790567,MEDIUM,6.0
Cody Labahn,SB,S05,279,22,25.7903742677478,3.7903742677478007,3.7903742677478007,LOW,6.0
Emily Brown,SB,S01,250,45,38.71508034378545,-6.284919656214548,6.284919656214548,LOW,1.632993161855452
Lindsay Daun,SB,S01,250,57,42.354904433317344,-14.645095566682656,14.645095566682656,LOW,3.0
Cody Labahn,SB,S06,300,45,28.57858185406173,-16.42141814593827,16.42141814593827,LOW,6.0
Nate Hodges,SB,S01,300,16,18.685620502451386,2.6856205024513855,2.6856205024513855,MEDIUM,1.5
Cody Labahn,UH,S05,279,20,34.94440219293877,14.944402192938767,14.944402192938767,LOW,6.0
Walt Page,SB,S01,300,20,19.806945524795985,-0.19305447520401486,0.19305447520401486,MEDIUM,3.6916742134191245
Matt Slingerland,SB,S01,300,26,20.42432071524125,-5.575679284758749,5.575679284758749,MEDIUM,3.8230072737812857
Kailee Curtis,UH,S06,279,165,33.132681852730116,-131.86731814726988,131.86731814726988,MEDIUM,6.0
Dakota Robarge,UH,S01,320,28,23.420776230552395,-4.579223769447605,4.579223769447605,LOW,4.611708700997618
Mark Bouquin,SB,S01,300,23,20.863390730580164,-2.1366092694198358,2.1366092694198358,LOW,2.627691364061218
Jason Lentz,UH,S01,320,19,22.555483266210675,3.5554832662106755,3.5554832662106755,MEDIUM,4.240464415784957
Alex Kaper,UH,S05,279,34,45.73907859000647,11.739078590006471,11.739078590006471,LOW,6.0
Mike Johnson,SB,S06,355,75,74.00439979801169,-0.9956002019883101,0.9956002019883101,LOW,6.0
Mike Forrester,SB,S01,300,23,21.186039769695586,-1.8139602303044136,1.8139602303044136,LOW,6.0
Mike Forrester,SB,S01,300,23,21.171227977264977,-1.8287720227350235,1.8287720227350235,LOW,6.0
Dakota Robarge,UH,S10,320,23,21.9282519322608,-1.0717480677392004,1.0717480677392004,LOW,4.503966505838413
Erin Cramsey,SB,S04,279,94,31.944832324854683,-62.05516767514531,62.05516767514531,LOW,6.0
Alexandria Miller,UH,S10,270,44,35.82641030964638,-8.173589690353623,8.173589690353623,LOW,5.909032633745278
Matt Cogar,UH,S01,320,16,20.078574370676723,4.078574370676723,4.078574370676723,MEDIUM,3.4501051877372686
Matt Cogar,SB,S01,300,16,18.315262362839682,2.3152623628396825,2.3152623628396825,MEDIUM,2.7497800498550142
Matt Cogar,SB,S01,300,20,18.303860800482894,-1.6961391995171056,1.6961391995171056,MEDIUM,2.6575111648679575
Mark Bouquin,UH,S01,320,18,23.172155394492833,5.172155394492833,5.172155394492833,LOW,2.966479394838265
Matt Cogar,SB,S10,300,16,17.857959736769516,1.8579597367695158,1.8579597367695158,LOW,2.7497800498550147
Eyler Adams,SB,S06,355,144,71.63636363636364,-72.36363636363636,72.36363636363636,LOW,3.0
Kate Page,UH,S05,254,33,33.68575402584921,0.6857540258492065,0.6857540258492065,LOW,5.359311730271176
Kate Page,SB,S06,254,53,22.439979521412056,-30.560020478587944,30.560020478587944,LOW,6.0
Brian Bartow,SB,S01,300,27,21.068380251267126,-5.931619748732874,5.931619748732874,LOW,1.7320508075688772
David Moses Jr.,SB,S01,300,19,21.502729236399183,2.5027292363991833,2.5027292363991833,LOW,3.807457422761782
Branden Sirguy,SB,S01,300,22,20.966236064888374,-1.033763935111626,1.033763935111626,LOW,2.966479394838265
Cody Labahn,SB,S04,304,34,34.498167351224666,0.4981673512246658,0.4981673512246658,LOW,6.0
Jason Lentz,SB,S01,300,24,18.867617534537395,-5.132382465462605,5.132382465462605,MEDIUM,2.481004759242637
Erin LaVoie,UH,S06,266,119,29.929186779278858,-89.07081322072113,89.07081322072113,MEDIUM,6.0
Matt Cogar,UH,S01,320,17,20.07750521414354,3.077505214143539,3.077505214143539,MEDIUM,3.458198922119177
Arden Cogar Jr,SB,S01,300,18,20.43842706612145,2.4384270661214487,2.4384270661214487,MEDIUM,2.251262272189053
Alex Kaper,SB,S01,300,38,24.222156679389375,-13.777843320610625,13.777843320610625,LOW,6.0
Adam LaSalle,UH,S01,320,38,23.844252435516673,-14.155747564483327,14.155747564483327,LOW,6.0
Hanna Quigley,UH,S01,270,42,37.8022893978176,-4.197710602182397,4.197710602182397,LOW,3.1622776601683795
Mark Bouquin,UH,S01,320,20,22.91263952298747,2.912639522987469,2.912639522987469,LOW,3.1622776601683795
Martha King,UH,S01,300,39,18.437575104026457,-20.562424895973543,20.562424895973543,LOW,3.847076812334269
Erin LaVoie,SB,S01,250,46,38.21159029528945,-7.788409704710553,7.788409704710553,LOW,6.0
Jeff Skirvin,UH,S01,320,29,24.41399577019503,-4.586004229804971,4.586004229804971,LOW,6.0
Meghan Hall,SB,S06,250,178,31.299470887029965,-146.70052911297003,146.70052911297003,LOW,6.0
Kelly Kerrigan,UH,S01,270,44,37.77229899233061,-6.227701007669388,6.227701007669388,LOW,6.0
